iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; BF_D_ok; BF_D_time; TS_R_ok; TS_R_time; BF_R_ok; BF_R_time; 
0; 5; 30; 3; 30; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 5; 40; 3; 30; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 5; 50; 5; 50; 1; 0; 1; 5; 0; 0; 0; 0; 
0; 5; 60; 7; 70; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 5; 70; 5; 50; 1; 0; 1; 1; 0; 0; 0; 0; 
0; 5; 80; 10; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 5; 90; 10; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 5; 100; 10; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 5; 110; 10; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 5; 120; 10; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 5; 130; 10; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 5; 140; 10; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 5; 150; 10; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 6; 30; 9; 60; 1; 0; 1; 1; 1; 26; 1; 67; 
0; 6; 40; 3; 20; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 6; 50; 7; 47; 1; 0; 1; 3; 0; 0; 0; 0; 
0; 6; 60; 7; 47; 1; 0; 1; 25; 0; 0; 1; 17; 
0; 6; 70; 10; 67; 1; 1; 1; 1; 1; 0; 1; 1; 
0; 6; 80; 14; 93; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 6; 90; 14; 93; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 6; 100; 14; 93; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 6; 110; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 6; 120; 15; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 6; 130; 15; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 6; 140; 15; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 6; 150; 15; 100; 1; 0; 1; 0; 1; 1; 1; 1; 
0; 7; 30; 5; 24; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 7; 40; 8; 38; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 7; 50; 6; 29; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 7; 60; 18; 86; 1; 1; 1; 2; 1; 1; 1; 0; 
0; 7; 70; 13; 62; 1; 1; 1; 0; 1; 32; 1; 213; 
0; 7; 80; 20; 95; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 7; 90; 21; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 7; 100; 21; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 7; 110; 21; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
