iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; TS_R_ok; TS_R_time; 
0; 20; 30; 42; 22; 0; 0; 0; 0; 
0; 20; 31; 50; 26; 0; 0; 0; 0; 
0; 20; 32; 46; 24; 0; 0; 0; 0; 
0; 20; 33; 43; 23; 0; 0; 0; 0; 
0; 20; 34; 55; 29; 0; 0; 1; 26; 
0; 20; 35; 42; 22; 0; 0; 0; 0; 
0; 20; 36; 55; 29; 0; 0; 1; 24; 
0; 20; 37; 53; 28; 1; 15; 1; 135; 
0; 20; 38; 49; 26; 0; 0; 1; 89; 
0; 20; 39; 71; 37; 0; 0; 1; 64; 
0; 21; 30; 33; 16; 0; 0; 0; 0; 
0; 21; 31; 58; 28; 0; 0; 0; 0; 
0; 21; 32; 45; 21; 0; 0; 1; 173; 
0; 21; 33; 49; 23; 0; 0; 1; 336; 
0; 21; 34; 55; 26; 0; 0; 0; 0; 
0; 21; 35; 55; 26; 0; 0; 0; 0; 
0; 21; 36; 60; 29; 0; 0; 1; 5; 
0; 21; 37; 71; 34; 0; 0; 1; 8; 
0; 21; 38; 66; 31; 1; 6; 1; 24; 
0; 21; 39; 68; 32; 0; 0; 1; 3; 
0; 22; 30; 54; 23; 0; 0; 0; 0; 
0; 22; 31; 46; 20; 0; 0; 0; 0; 
0; 22; 32; 57; 25; 0; 0; 0; 0; 
0; 22; 33; 52; 23; 0; 0; 0; 0; 
0; 22; 34; 56; 24; 0; 0; 0; 0; 
0; 22; 35; 76; 33; 0; 0; 1; 173; 
0; 22; 36; 69; 30; 0; 0; 1; 5; 
0; 22; 37; 61; 26; 1; 134; 1; 22; 
0; 22; 38; 72; 31; 1; 202; 1; 10; 
0; 22; 39; 64; 28; 0; 0; 0; 0; 
0; 23; 30; 61; 24; 0; 0; 0; 0; 
0; 23; 31; 52; 21; 0; 0; 0; 0; 
0; 23; 32; 56; 22; 0; 0; 1; 85; 
0; 23; 33; 52; 21; 0; 0; 0; 0; 
0; 23; 34; 68; 27; 1; 157; 0; 0; 
0; 23; 35; 64; 25; 0; 0; 1; 455; 
0; 23; 36; 82; 32; 0; 0; 1; 8; 
0; 23; 37; 74; 29; 0; 0; 1; 12; 
0; 23; 38; 81; 32; 0; 0; 1; 22; 
0; 23; 39; 69; 27; 1; 77; 0; 0; 
0; 24; 30; 61; 22; 0; 0; 0; 0; 
0; 24; 31; 69; 25; 0; 0; 0; 0; 
0; 24; 32; 54; 20; 0; 0; 1; 602; 
0; 24; 33; 64; 23; 0; 0; 1; 36; 
0; 24; 34; 67; 24; 1; 55; 0; 0; 
0; 24; 35; 66; 24; 0; 0; 1; 122; 
0; 24; 36; 79; 29; 0; 0; 1; 81; 
0; 24; 37; 101; 37; 1; 565; 1; 13; 
0; 24; 38; 85; 31; 0; 0; 1; 142; 
0; 24; 39; 99; 36; 1; 440; 1; 27; 
0; 25; 30; 60; 20; 0; 0; 0; 0; 
0; 25; 31; 73; 24; 0; 0; 0; 0; 
0; 25; 32; 65; 22; 0; 0; 0; 0; 
0; 25; 33; 69; 23; 0; 0; 0; 0; 
0; 25; 34; 72; 24; 0; 0; 0; 0; 
0; 25; 35; 100; 33; 0; 0; 1; 21; 
0; 25; 36; 75; 25; 0; 0; 0; 0; 
0; 25; 37; 82; 27; 1; 241; 1; 108; 
0; 25; 38; 84; 28; 0; 0; 1; 392; 
0; 25; 39; 95; 32; 1; 72; 1; 8; 
0; 26; 30; 71; 22; 0; 0; 1; 253; 
0; 26; 31; 80; 25; 0; 0; 1; 66; 
0; 26; 32; 95; 29; 1; 279; 1; 32; 
0; 26; 33; 75; 23; 0; 0; 0; 0; 
0; 26; 34; 90; 28; 0; 0; 1; 145; 
0; 26; 35; 82; 25; 0; 0; 1; 61; 
0; 26; 36; 93; 29; 1; 78; 1; 18; 
0; 26; 37; 116; 36; 0; 0; 1; 18; 
0; 26; 38; 107; 33; 0; 0; 1; 6; 
0; 26; 39; 97; 30; 0; 0; 1; 24; 
0; 27; 30; 84; 24; 0; 0; 1; 635; 
0; 27; 31; 93; 26; 0; 0; 1; 14; 
0; 27; 32; 73; 21; 0; 0; 0; 0; 
0; 27; 33; 75; 21; 0; 0; 1; 79; 
0; 27; 34; 97; 28; 0; 0; 0; 0; 
0; 27; 35; 95; 27; 0; 0; 1; 102; 
0; 27; 36; 102; 29; 0; 0; 1; 8; 
0; 27; 37; 108; 31; 1; 17; 1; 17; 
0; 27; 38; 130; 37; 1; 75; 1; 33; 
0; 27; 39; 95; 27; 0; 0; 1; 140; 
0; 28; 30; 68; 18; 0; 0; 0; 0; 
0; 28; 31; 80; 21; 0; 0; 1; 628; 
0; 28; 32; 93; 25; 0; 0; 1; 361; 
0; 28; 33; 91; 24; 0; 0; 1; 500; 
0; 28; 34; 144; 38; 0; 0; 1; 2; 
0; 28; 35; 149; 39; 0; 0; 1; 7; 
0; 28; 36; 121; 32; 1; 139; 1; 21; 
0; 28; 37; 121; 32; 1; 393; 1; 36; 
0; 28; 38; 123; 33; 0; 0; 1; 16; 
0; 28; 39; 120; 32; 0; 0; 1; 68; 
0; 29; 30; 73; 18; 0; 0; 0; 0; 
0; 29; 31; 91; 22; 0; 0; 1; 299; 
0; 29; 32; 82; 20; 1; 227; 0; 0; 
0; 29; 33; 91; 22; 0; 0; 1; 165; 
0; 29; 34; 93; 23; 0; 0; 1; 67; 
0; 29; 35; 93; 23; 0; 0; 1; 451; 
0; 29; 36; 118; 29; 1; 873; 1; 112; 
0; 29; 37; 119; 29; 1; 329; 1; 603; 
0; 29; 38; 138; 34; 1; 232; 1; 30; 
0; 29; 39; 133; 33; 1; 517; 1; 7; 
1; 20; 30; 48; 25; 0; 0; 0; 0; 
1; 20; 31; 59; 31; 0; 0; 1; 11; 
1; 20; 32; 48; 25; 0; 0; 0; 0; 
1; 20; 33; 56; 29; 0; 0; 0; 0; 
1; 20; 34; 39; 21; 0; 0; 0; 0; 
1; 20; 35; 72; 38; 0; 0; 1; 1; 
1; 20; 36; 55; 29; 0; 0; 1; 231; 
1; 20; 37; 77; 41; 0; 0; 1; 3; 
1; 20; 38; 60; 32; 0; 0; 1; 40; 
1; 20; 39; 59; 31; 0; 0; 1; 88; 
1; 21; 30; 56; 27; 0; 0; 0; 0; 
1; 21; 31; 45; 21; 0; 0; 0; 0; 
1; 21; 32; 51; 24; 0; 0; 0; 0; 
1; 21; 33; 65; 31; 0; 0; 1; 17; 
1; 21; 34; 49; 23; 0; 0; 0; 0; 
1; 21; 35; 76; 36; 0; 0; 1; 3; 
1; 21; 36; 61; 29; 0; 0; 1; 47; 
1; 21; 37; 64; 30; 1; 74; 0; 0; 
1; 21; 38; 56; 27; 0; 0; 0; 0; 
1; 21; 39; 67; 32; 0; 0; 1; 44; 
1; 22; 30; 38; 16; 0; 0; 0; 0; 
1; 22; 31; 52; 23; 0; 0; 0; 0; 
1; 22; 32; 57; 25; 0; 0; 0; 0; 
1; 22; 33; 40; 17; 0; 0; 0; 0; 
1; 22; 34; 63; 27; 0; 0; 0; 0; 
1; 22; 35; 61; 26; 0; 0; 1; 41; 
1; 22; 36; 73; 32; 0; 0; 1; 8; 
1; 22; 37; 73; 32; 1; 15; 1; 6; 
1; 22; 38; 101; 44; 1; 275; 1; 4; 
1; 22; 39; 65; 28; 0; 0; 1; 17; 
1; 23; 30; 56; 22; 0; 0; 0; 0; 
1; 23; 31; 51; 20; 0; 0; 0; 0; 
1; 23; 32; 66; 26; 0; 0; 0; 0; 
1; 23; 33; 57; 23; 0; 0; 0; 0; 
1; 23; 34; 69; 27; 0; 0; 1; 59; 
1; 23; 35; 73; 29; 1; 182; 1; 9; 
1; 23; 36; 64; 25; 0; 0; 0; 0; 
1; 23; 37; 75; 30; 0; 0; 1; 91; 
1; 23; 38; 53; 21; 0; 0; 0; 0; 
1; 23; 39; 98; 39; 1; 706; 1; 6; 
1; 24; 30; 56; 20; 0; 0; 0; 0; 
1; 24; 31; 71; 26; 0; 0; 0; 0; 
1; 24; 32; 57; 21; 0; 0; 0; 0; 
1; 24; 33; 63; 23; 1; 389; 0; 0; 
